date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:49:17	1017/1017	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Oct%202022%2015:49:16%20GMT	https://hzaaqfkbv26lja4ugn7qxg.on.drv.tw/robots.txt		(from )
08:49:18	6667/6667	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jun%202021%2017:36:08%20GMT	https://hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/	C:/Users/admin/Desktop/syeda%20umme%20salma%20port/hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/index.html	(from )
08:49:20	12547/12547	---MCZ	200	added ('OK')	text/css	date:Thu,%2017%20Jun%202021%2017:36:11%20GMT	https://hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/style.css	C:/Users/admin/Desktop/syeda%20umme%20salma%20port/hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/style.css	(from https://hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/)
08:49:20	2009/2009	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Oct%202022%2015:49:19%20GMT	https://hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/shifa.png	C:/Users/admin/Desktop/syeda%20umme%20salma%20port/hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/shifa.png	(from https://hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/)
08:49:21	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/admin/Desktop/syeda%20umme%20salma%20port/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/)
08:49:22	0/0	---MC-	302	error ('Found')	video/mp4	etag:0BxjvktILibP3MXhCWEdrYmJ1dnZKZ254bWhJL2NhbG9sdDB3PQ	https://hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/Programming%20video%20clips.mp4	C:/Users/admin/Desktop/syeda%20umme%20salma%20port/hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/Programming%20video%20clips.mp4	(from https://hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/)
08:49:23	2488/2488	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jun%202021%2017:36:11%20GMT	https://hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/projects.html	C:/Users/admin/Desktop/syeda%20umme%20salma%20port/hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/projects.html	(from https://hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/)
08:49:24	0/0	---MC-	302	error ('Found')	text/html	etag:0BxjvktILibP3bmZ3YnpjbWV6Ujg4dHhTUmZFWUs4ZXhOWFo0PQ	https://hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/syeda%20umme%20salma%20resume.pdf	C:/Users/admin/Desktop/syeda%20umme%20salma%20port/hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/syeda%20umme%20salma%20resume.pdf	(from https://hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/)
08:49:24	1149/1149	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jun%202021%2017:36:10%20GMT	https://hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/port.html	C:/Users/admin/Desktop/syeda%20umme%20salma%20port/hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/port.html	(from https://hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/)
08:49:25	0/0	---MC-	302	error ('Found')	text/html	etag:0BxjvktILibP3NytjQWpGME44T2ZiOEo5c2EvQ29rQnAremhRPQ	https://hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/coder.jpg	C:/Users/admin/Desktop/syeda%20umme%20salma%20port/hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/coder.jpg	(from https://hzaaqfkbv26lja4ugn7qxg.on.drv.tw/My%20portfolio/)
